project_id,source_type,published_at,title,url,raw_department_name,cause_bucket,evidence
1075,press_release,2026-03-30,<鍋島藩窯クリスマスイベント実行委員会事業> 令和8年度鍋島藩窯クリスマスイベント実施業務に係る公募型プロポーザルを実施します。,https://www.pref.saga.lg.jp/kiji003118589/index.html,プレゼンテーションの日程及び場所,needs_reingest_explicit_person,担当者名 電話番号 ファックス番号 メールアドレス
91,proposal,2026-03-27,令和8年度吉野ヶ里歴史公園地域連携推進事業(プロモーション等)業務委託に 関する公募型プロポーザルの審査結果について,https://www.pref.saga.lg.jp/kiji003118808/index.html,,result_or_answer_page_without_contact,令和8年度吉野ヶ里歴史公園地域連携推進事業(プロモーション等)業務委託に 関する公募型プロポーザルの審査結果について
66,proposal,2026-03-27,令和8年度鳥栖駅東側エリア活用創出チャレンジ事業に係る企画提案業務に関するプロポーザル審査結果について,https://www.pref.saga.lg.jp/kiji003118806/index.html,,result_or_answer_page_without_contact,令和8年度鳥栖駅東側エリア活用創出チャレンジ事業に係る企画提案業務に関するプロポーザル審査結果について
65,press_release,2026-03-27,令和8年度「地域主体の持続可能なスローツーリズムの仕掛けづくり」事業の委託に係る公募型プロポーザルを実施します,https://www.pref.saga.lg.jp/kiji003118807/index.html,佐賀県地域交流部さが創生推進課,source_has_department_only,(1) 担当課 佐賀県地域交流部さが創生推進課 むしろこれから鹿島・太良プロジェクト担当 郵便番号840-8570 佐賀県佐賀市城内1-1-59 電話 0952-25-7505 電子メールアドレス sagasousei@pref.saga.lg.jp (2) 説明書の交付期間及び方法
63,press_release,2026-03-27,令和8年度佐賀県固定電話機設置費補助事業周知及び受付審査業務委託にかかるプロポーザルを実施します,https://www.pref.saga.lg.jp/kiji003118827/index.html,令和8年度佐賀県固定,needs_reingest_inline_person,(1) 令和8年3月31日までの連絡先 担当:佐賀県県民環境部くらしの安全安心課 地域安全担当 住所:〒840-8570 佐賀県佐賀市城内1丁目1-59(佐賀県庁旧館1階) 電話:0952-25-7060 FAX:0952-25-7327
16,press_release,2026-03-27,質問回答|令和8年度産福連携プロジェクト運営等委託業務のプロポーザル仕様書などへの質問について,https://www.pref.saga.lg.jp/kiji003118829/index.html,,result_or_answer_page_without_contact,質問回答|令和8年度産福連携プロジェクト運営等委託業務のプロポーザル仕様書などへの質問について
15,press_release,2026-03-27,令和8年度県内企業訪問ツアー企画・運営業務に関する企画提案を募集します,https://www.pref.saga.lg.jp/kiji003118826/index.html,佐賀県産業人材確保プロジェクト推進会議事務局,needs_reingest_inline_person,佐賀県産業人材確保プロジェクト推進会議事務局 (佐賀県 産業労働部 産業人材課 産業人材担当) TEL:0952-25-7310 FAX:0952-25-7305 添付資料
68,proposal,2026-03-26,【質問回答】海外県人会次世代人材交流・育成事業委託業務に関するプロポーザルの質問への回答を掲載します,https://www.pref.saga.lg.jp/kiji003118793/index.html,,result_or_answer_page_without_contact,【質問回答】海外県人会次世代人材交流・育成事業委託業務に関するプロポーザルの質問への回答を掲載します
67,press_release,2026-03-26,第44回全国都市緑化フェア from SAGA会場実施計画等策定業務委託にかかる公募型プロポーザルを実施します,https://www.pref.saga.lg.jp/kiji003118753/index.html,第44回全国都市緑化フェアfrom SAGA会場実施計画等策定業務委託,needs_reingest_explicit_person,担当者名 電話番号 電子メールアドレス 質問事項
17,proposal,2026-03-26,佐賀県介護事業所等及び介護施設等に対するサービス継続支援事業費補助金審査等業務委託の条件付一般競争入札(事前審査型)を行います,https://www.pref.saga.lg.jp/kiji003118717/index.html,当課に持参、電子,needs_reingest_inline_person,郵便番号840-8570 佐賀県佐賀市城内1丁目1番59 号 佐賀県健康福祉部長寿社会課 検査指導担当 電話 0952-25-7266 電子メールアドレス kaigohoken@pref.saga.lg.jp 4 入札参加資格の確認
